 "name" , "rent" , "stores" ,
 "Zentrum" , "9.35" , "3" ,
 "Zentrum-Nordwest" , "9.01" , "1" ,
 "Zentrum-Süd" , "9.01" , "4" ,
 "Zentrum-Südost" , "8.79" , "2" ,
 "Zentrum-Ost" , "8.48" , "1" ,
 "Connewitz" , "8.42" , "1" ,
 "Südvorstadt" , "7.84" , "1" ,
 "Zentrum-Nord" , "7.68" , "1" ,
 "Gohlis-Mitte" , "7.13" , "1" ,
 "Plagwitz" , "7.09" , "1" ,
 "Schleußig" , "7.05" , "2" ,
 "Reudnitz-Thonberg" , "6.57" , "1" ,
 "Altlindenau" , "6.24" , "2" ,
 "Seehausen" , "6.22" , "1" ,
 "Stötteritz" , "5.96" , "1" ,
 "Anger-Crottendorf" , "5.82" , "1" ,
